year,picked,oos_pnl,oos_rank,best_that_year,best_pnl
2012,atr 4,-3168.8000000000006,9,fixed 1,-517.3800000000001
2013,fixed 1,-507.0800000000004,1,fixed 1,-507.08000000000027
2014,fixed 1,-382.38000000000056,1,fixed 1,-382.38000000000034
2015,fixed 1,277.4999999999993,6,pct 0.0025,2294.9999999999995
2016,fixed 1,1833.8199999999988,9,fixed 10,9858.2
2017,fixed 2,1764.3199999999993,6,pct 0.005,5990.939999999998
2018,fixed 2,7315.319999999998,2,pct 0.01,8123.460000000001
2019,fixed 2,2401.6399999999994,9,atr 3,12857.480000000001
2020,fixed 2,6122.960000000003,7,pct 0.0025,13182.880000000001
2021,fixed 2,1614.6399999999976,10,atr 4,8144.18
2022,pct 0.0025,5265.739999999998,8,fixed 5,12160.800000000001
2023,fixed 2,2170.999999999997,8,fixed 5,10347.5
2024,fixed 5,1699.099999999994,9,atr 4,14149.94
2025,atr 4,5681.880000000003,7,fixed 2,10165.0
2026,atr 4,2713.4600000000005,4,pct 0.0075,9682.400000000001
